Post URL,Primary Hashtag,Username,Caption,Top Comments,Scam?,Notes/Flag
https://www.tiktok.com/@socialwithbecca/video/7597857539136441618?q=digitalproducts&t=1775583246364,#digitalmarketing,@socialwithbecca,Selling digital products for beginners🫶🏼💻🩷🤩,Congratulations on your success. Selling digital products has changed my life.,no,Promoting digital products/marketing. Claims that she has been doing this for quite some time. Doesn't look like a scam
https://www.tiktok.com/@marissadahlinbiz/video/7626025588368608542?q=digitalproducts&t=1775583679810,#digitalproductbusiness,@marissadahlinbiz,"How to create your first digital product step-by-step.
DM me “TESTER” for the full guide that breaks down everything from choosing a niche to pricing and more.",No comments,yes,Tries to sell some methods that she has created and claims it can help people make money. Few followers (less than 400). Doesn't seem to be credible
https://www.tiktok.com/@1am.multimedia/video/7626043236859120926?q=digitalproducts&t=1775583679810,#digitalmarketing,@1am.multimedia,Comment “Start” to learn‼️ Don’t get left behind📈📈,No comments,yes,"No credibility. Few followers. Promoting his business, claiming it can help people make money. "
https://www.tiktok.com/@workfromhome.bestie/video/7624372923104496909?q=workfromhome&t=1775583998653,#workfromhome,@workfromhome.bestie,If you’re looking to get hired fast check this listing out it was just posted today‼️ they’re looking to hire fast! 💨,U have to pay to get the job tho..,yes,Looks like a scam since people have to pay to get the job. The creator of the video responded to a comment confirming that people have to pay for it 
https://www.tiktok.com/@sheisapaigeturner/video/7625803814792121613?q=workfromhome&t=1775583998653,#workfromhome,@sheisapaigeturner,Working from home is still work! Throwing in a load of laundry here or there is great but also some days that can’t happen and that’s ok!,Spoken from people who truly have never worked from home. I work harder from home than I ever did in the office. Period,no,Just sharing the lifestyle
https://www.tiktok.com/@maxtalkstech/video/7625252335123582238?q=workfromhome&t=1775583998653,#remotejobs,@maxtalkstech,"Top 3 High Paying Remote Job Boards. Best websites to find the highest paying remote jobs to work from home. Remote jobs in Marketing, Data Entry, Sales, Tech, and more.",Jobs,yes,Need to DM him to get the link and will let you try applying once for free (probably have to pay later)
https://www.tiktok.com/@onlyworkfromhometips/video/7623372991614831902?q=workfromhome&t=1775583998653,#workfromhome,@onlyworkfromhometips,For more information click on apply now link on my bio!!! ,Me please,yes,"Doesn't look credible. Have to go to the link in her bio and claims she can help. Few followers, small engagement. "
https://www.tiktok.com/@calebboxxofficial/video/7591495936275123487?q=faceless%20business&t=1775584611010,#facelessbusiness,@calebboxxofficial,Here’s what I did to build a $40k/mo YouTube faceless business with ai,Class,yes,Claims people can make 40K per month. Sounds too good to be true. He's also asking people to DM him for his class
https://www.tiktok.com/@digitalwithjosefine/video/7581573877348912387?q=faceless%20business&t=1775584611010,#facelessmarketing,@digitalwithjosefine,"If being on camera holds you back from starting your business this is your sign. 🤍Faceless marketing is real, it’s profitable and it works – even for beginners.

What is Faceless Digital Marketing?
Faceless Digital Marketing is when you build and grow an online brand, sell digital products or provide services without personally showing your face or identity.Instead you focus on content, visuals, and systems to attract and convert an audience…✨",Interested,yes,"Sells the courses. Few engagement, few followers. Account is very new. No credibility"
https://www.tiktok.com/@moonlightfemme/video/7506972698401082646?q=faceless%20business&t=1775584870409,#facelesscontentcreator,@moonlightfemme,"Ever wanted to start a business without showing your face or holding any inventory?
I got you. Here’s a faceless business idea using Printful that lets you create and sell custom products without ever touching them. Perfect for creators, introverts, or anyone wanting to earn online in 2025.","I have heard of printful. how does that work
",no,Doesn't sell anything. Shows how someone can create products in the video
